Source Order,Source ID,Source Slug,Anchor,Target URL,Link Type
1,M01,/massage-at-home-prices-dubai/,massage services page,https://homesalon.ae/massage/,commercial_service
1,M01,/massage-at-home-prices-dubai/,60 vs 90 minute massage guide,https://homesalon.ae/60-vs-90-minute-massage/,supporting_article
1,M01,/massage-at-home-prices-dubai/,choose the right massage type,https://homesalon.ae/how-to-choose-massage-type/,supporting_article
1,M01,/massage-at-home-prices-dubai/,massage services at home in Dubai,https://homesalon.ae/massage/,commercial_service
1,M01,/massage-at-home-prices-dubai/,lymphatic drainage massage,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
1,M01,/massage-at-home-prices-dubai/,pregnancy massage,https://homesalon.ae/massage/pregnancy-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,Deep Tissue vs Thai Massage guide,https://homesalon.ae/deep-tissue-vs-thai-massage/,supporting_article
2,M02,/how-to-choose-massage-type/,what to expect from lymphatic drainage massage,https://homesalon.ae/lymphatic-drainage-massage-what-to-expect/,supporting_article
2,M02,/how-to-choose-massage-type/,lymphatic drainage massage service,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,pregnancy massage,https://homesalon.ae/massage/pregnancy-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,what to ask before booking,https://homesalon.ae/pregnancy-massage-when-to-book/,supporting_article
2,M02,/how-to-choose-massage-type/,60 vs 90 minute massage guide,https://homesalon.ae/60-vs-90-minute-massage/,supporting_article
2,M02,/how-to-choose-massage-type/,massage services at home in Dubai,https://homesalon.ae/massage/,commercial_service
2,M02,/how-to-choose-massage-type/,Deep Tissue Massage,https://homesalon.ae/massage/deep-tissue-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,Thai Massage,https://homesalon.ae/massage/thai-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,Hot Stone Massage,https://homesalon.ae/massage/hot-stone-massage/,commercial_service
2,M02,/how-to-choose-massage-type/,Lymphatic Drainage Massage,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
3,M11,/lymphatic-drainage-massage-what-to-expect/,Lymphatic Drainage vs Regular Massage,https://homesalon.ae/lymphatic-drainage-vs-regular-massage/,supporting_article
3,M11,/lymphatic-drainage-massage-what-to-expect/,lymphatic drainage massage at home in Dubai,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
3,M11,/lymphatic-drainage-massage-what-to-expect/,choosing the right massage type,https://homesalon.ae/how-to-choose-massage-type/,supporting_article
4,M12,/lymphatic-drainage-vs-regular-massage/,massage type selection guide,https://homesalon.ae/how-to-choose-massage-type/,supporting_article
4,M12,/lymphatic-drainage-vs-regular-massage/,lymphatic drainage massage service,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
4,M12,/lymphatic-drainage-vs-regular-massage/,massage services at home,https://homesalon.ae/massage/,commercial_service
4,M12,/lymphatic-drainage-vs-regular-massage/,dedicated lymphatic drainage page,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
4,M12,/lymphatic-drainage-vs-regular-massage/,What to Expect from Lymphatic Drainage Massage,https://homesalon.ae/lymphatic-drainage-massage-what-to-expect/,supporting_article
5,M10,/pregnancy-massage-when-to-book/,pregnancy massage service,https://homesalon.ae/massage/pregnancy-massage/,commercial_service
5,M10,/pregnancy-massage-when-to-book/,home massage preparation guide,https://homesalon.ae/prepare-for-massage-at-home/,supporting_article
5,M10,/pregnancy-massage-when-to-book/,Pregnancy Massage at Home in Dubai,https://homesalon.ae/massage/pregnancy-massage/,commercial_service
5,M10,/pregnancy-massage-when-to-book/,choosing the right massage type,https://homesalon.ae/how-to-choose-massage-type/,supporting_article
6,M03,/60-vs-90-minute-massage/,choosing the right massage type,https://homesalon.ae/how-to-choose-massage-type/,supporting_article
6,M03,/60-vs-90-minute-massage/,massage at home prices in Dubai,https://homesalon.ae/massage-at-home-prices-dubai/,supporting_article
6,M03,/60-vs-90-minute-massage/,massage services page,https://homesalon.ae/massage/,commercial_service
6,M03,/60-vs-90-minute-massage/,pregnancy massage,https://homesalon.ae/massage/pregnancy-massage/,commercial_service
6,M03,/60-vs-90-minute-massage/,lymphatic drainage massage,https://homesalon.ae/massage/lymphatic-drainage-massage/,commercial_service
7,N01,/nail-service-prices-at-home-dubai/,Nail Services at Home,https://homesalon.ae/nails/,commercial_service
7,N01,/nail-service-prices-at-home-dubai/,Gelish vs Regular Nail Polish guide,https://homesalon.ae/gelish-vs-regular-nail-polish/,supporting_article
7,N01,/nail-service-prices-at-home-dubai/,BIAB vs Gel Manicure,https://homesalon.ae/biab-vs-gel-manicure/,supporting_article
7,N01,/nail-service-prices-at-home-dubai/,Acrylic Nails,https://homesalon.ae/manicure/acrylic-nail/,commercial_service
7,N01,/nail-service-prices-at-home-dubai/,Gel Nail Extensions,https://homesalon.ae/manicure/gel-nail-extensions/,commercial_service
7,N01,/nail-service-prices-at-home-dubai/,Home Salon Nail Services page,https://homesalon.ae/nails/,commercial_service
8,N03,/biab-vs-gel-manicure/,Acrylic Nails,https://homesalon.ae/manicure/acrylic-nail/,commercial_service
