source_order,source_id,source_title,source_url,relationship,anchor,target_url
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,https://smspetgrooming.ae/cat-grooming-prices-dubai/,Primary CTA,View current cat grooming packages in Dubai,https://smspetgrooming.ae/cat-grooming/
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,https://smspetgrooming.ae/cat-grooming-prices-dubai/,Supporting,how often a cat should be groomed,https://smspetgrooming.ae/how-often-groom-cat/
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,https://smspetgrooming.ae/cat-grooming-prices-dubai/,Supporting,Persian cat grooming,https://smspetgrooming.ae/persian-cat-grooming/
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,https://smspetgrooming.ae/cat-grooming-prices-dubai/,Supporting,matted cat fur,https://smspetgrooming.ae/matted-cat-fur-grooming/
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",https://smspetgrooming.ae/how-often-groom-cat/,Primary CTA,mobile cat grooming in Dubai,https://smspetgrooming.ae/cat-grooming/
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",https://smspetgrooming.ae/how-often-groom-cat/,Supporting,cat grooming prices in Dubai,https://smspetgrooming.ae/cat-grooming-prices-dubai/
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",https://smspetgrooming.ae/how-often-groom-cat/,Supporting,Persian cat grooming schedule,https://smspetgrooming.ae/persian-cat-grooming/
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",https://smspetgrooming.ae/how-often-groom-cat/,Supporting,cat nail-clipping frequency,https://smspetgrooming.ae/cat-nail-clipping-frequency/
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",https://smspetgrooming.ae/how-often-groom-cat/,Supporting,matted cat fur,https://smspetgrooming.ae/matted-cat-fur-grooming/
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",https://smspetgrooming.ae/persian-cat-grooming/,Primary CTA,professional mobile cat grooming in Dubai,https://smspetgrooming.ae/cat-grooming/
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",https://smspetgrooming.ae/persian-cat-grooming/,Supporting,how often a cat should be groomed,https://smspetgrooming.ae/how-often-groom-cat/
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",https://smspetgrooming.ae/persian-cat-grooming/,Supporting,matted cat fur,https://smspetgrooming.ae/matted-cat-fur-grooming/
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",https://smspetgrooming.ae/persian-cat-grooming/,Supporting,cat grooming prices in Dubai,https://smspetgrooming.ae/cat-grooming-prices-dubai/
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,https://smspetgrooming.ae/cat-nail-clipping-frequency/,Primary CTA,book mobile cat grooming in Dubai,https://smspetgrooming.ae/cat-grooming/
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,https://smspetgrooming.ae/cat-nail-clipping-frequency/,Supporting,cat grooming prices in Dubai,https://smspetgrooming.ae/cat-grooming-prices-dubai/
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,https://smspetgrooming.ae/cat-nail-clipping-frequency/,Supporting,how often to groom a cat,https://smspetgrooming.ae/how-often-groom-cat/
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,https://smspetgrooming.ae/matted-cat-fur-grooming/,Primary CTA,professional mobile cat grooming in Dubai,https://smspetgrooming.ae/cat-grooming/
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,https://smspetgrooming.ae/matted-cat-fur-grooming/,Supporting,Persian cat grooming,https://smspetgrooming.ae/persian-cat-grooming/
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,https://smspetgrooming.ae/matted-cat-fur-grooming/,Supporting,how often to groom a cat,https://smspetgrooming.ae/how-often-groom-cat/
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,https://smspetgrooming.ae/matted-cat-fur-grooming/,Supporting,cat grooming prices in Dubai,https://smspetgrooming.ae/cat-grooming-prices-dubai/
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,https://smspetgrooming.ae/mobile-cat-grooming-vs-salon/,Primary CTA,mobile cat grooming at your Dubai home,https://smspetgrooming.ae/cat-grooming/
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,https://smspetgrooming.ae/mobile-cat-grooming-vs-salon/,Supporting,cat grooming prices in Dubai,https://smspetgrooming.ae/cat-grooming-prices-dubai/
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,https://smspetgrooming.ae/mobile-cat-grooming-vs-salon/,Supporting,how often a cat should be groomed,https://smspetgrooming.ae/how-often-groom-cat/
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",https://smspetgrooming.ae/dog-grooming-prices-dubai/,Primary CTA,view current dog grooming packages in Dubai,https://smspetgrooming.ae/dog-grooming/
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",https://smspetgrooming.ae/dog-grooming-prices-dubai/,Supporting,how often to groom a dog,https://smspetgrooming.ae/how-often-groom-dog/
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",https://smspetgrooming.ae/dog-grooming-prices-dubai/,Supporting,dog nail-trimming frequency,https://smspetgrooming.ae/dog-nail-trimming-frequency/
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",https://smspetgrooming.ae/dog-grooming-prices-dubai/,Supporting,dog deshedding,https://smspetgrooming.ae/dog-deshedding/
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,https://smspetgrooming.ae/how-often-groom-dog/,Primary CTA,professional mobile dog grooming in Dubai,https://smspetgrooming.ae/dog-grooming/
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,https://smspetgrooming.ae/how-often-groom-dog/,Supporting,dog grooming prices in Dubai,https://smspetgrooming.ae/dog-grooming-prices-dubai/
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,https://smspetgrooming.ae/how-often-groom-dog/,Supporting,dog nail-trimming frequency,https://smspetgrooming.ae/dog-nail-trimming-frequency/
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,https://smspetgrooming.ae/how-often-groom-dog/,Supporting,dog deshedding,https://smspetgrooming.ae/dog-deshedding/
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",https://smspetgrooming.ae/dog-nail-trimming-frequency/,Primary CTA,book dog grooming at your Dubai home,https://smspetgrooming.ae/dog-grooming/
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",https://smspetgrooming.ae/dog-nail-trimming-frequency/,Supporting,how often to groom a dog,https://smspetgrooming.ae/how-often-groom-dog/
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",https://smspetgrooming.ae/dog-nail-trimming-frequency/,Supporting,dog grooming prices in Dubai,https://smspetgrooming.ae/dog-grooming-prices-dubai/
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,https://smspetgrooming.ae/dog-deshedding/,Primary CTA,mobile dog grooming and deshedding in Dubai,https://smspetgrooming.ae/dog-grooming/
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,https://smspetgrooming.ae/dog-deshedding/,Supporting,how often to groom a dog,https://smspetgrooming.ae/how-often-groom-dog/
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,https://smspetgrooming.ae/dog-deshedding/,Supporting,dog grooming prices in Dubai,https://smspetgrooming.ae/dog-grooming-prices-dubai/
11,D02,Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?,https://smspetgrooming.ae/mobile-dog-grooming-vs-salon/,Primary CTA,mobile dog grooming at your Dubai home,https://smspetgrooming.ae/dog-grooming/
