article_order,article_id,article_title,category,asset_id,type,placement,filename,alt_text,aspect_ratio,prompt,required
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,Cat Grooming,C17-FEATURED,featured_image,CMS featured image; do not insert again inside article body,cat-grooming-prices-dubai-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,Cat Grooming,C17-V1,in_article_visual,Immediately after the first major H2 section,cat-grooming-prices-dubai-visual-1.webp,Original Basic-vs-Full comparison graphic with verified inclusions for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?”: Original Basic-vs-Full comparison graphic with verified inclusions.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
1,C17,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,Cat Grooming,C17-V2,in_article_visual,"Near the middle decision, schedule or comparison section",cat-grooming-prices-dubai-visual-2.webp,Original cat grooming-session photo with descriptive caption for cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?”: Original cat grooming-session photo with descriptive caption.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",Cat Grooming,C01-FEATURED,featured_image,CMS featured image; do not insert again inside article body,how-often-groom-cat-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",Cat Grooming,C01-V1,in_article_visual,Immediately after the first major H2 section,how-often-groom-cat-visual-1.webp,Cat grooming schedule matrix by coat type and life stage for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle”: Cat grooming schedule matrix by coat type and life stage.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
2,C01,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",Cat Grooming,C01-V2,in_article_visual,"Near the middle decision, schedule or comparison section",how-often-groom-cat-visual-2.webp,Original coat-check photo showing common mat-prone areas for cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle”: Original coat-check photo showing common mat-prone areas.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",Cat Grooming,C13-FEATURED,featured_image,CMS featured image; do not insert again inside article body,persian-cat-grooming-featured.webp,Persian cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency”. Subject: Persian cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",Cat Grooming,C13-V1,in_article_visual,Immediately after the first major H2 section,persian-cat-grooming-visual-1.webp,Original Persian before/after or coat-maintenance images with owner permission for Persian cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency”: Original Persian before/after or coat-maintenance images with owner permission.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
3,C13,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency",Cat Grooming,C13-V2,in_article_visual,"Near the middle decision, schedule or comparison section",persian-cat-grooming-visual-2.webp,"Diagram of mat-prone areas: behind ears, armpits, groin and back legs for Persian cat grooming guidance.",4:3,"Create a clean, original editorial infographic supporting “Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency”: Diagram of mat-prone areas: behind ears, armpits, groin and back legs.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,Cat Grooming,C06-FEATURED,featured_image,CMS featured image; do not insert again inside article body,cat-nail-clipping-frequency-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
