order,wave,id,filename,category,category_slug,title,seo_title,meta_title_length,meta_description,meta_description_length,slug,canonical_url,primary_keyword,search_intent,priority,commercial_parent_url,word_count,supporting_internal_links,featured_image_filename,schema_types,expert_review_required,commercial_verification_required,status
1,Wave 1,C17,01-C17-cat-grooming-prices-dubai.md,Cat Grooming,cat-grooming,Cat Grooming Prices in Dubai: What Changes the Cost of an Appointment?,Cat Grooming Prices Dubai: Packages and Cost Factors,52,"Compare SMS mobile cat grooming prices in Dubai, see what Basic and Full packages cover, and learn which coat and service factors affect the final cost.",152,/cat-grooming-prices-dubai/,https://smspetgrooming.ae/cat-grooming-prices-dubai/,cat grooming price Dubai,Commercial investigation,P1,https://smspetgrooming.ae/cat-grooming/,1749,3,cat-grooming-prices-dubai-featured.webp,"Article,BreadcrumbList,FAQPage",yes,yes,cms_ready_pending_expert_review
2,Wave 1,C01,02-C01-how-often-groom-cat.md,Cat Grooming,cat-grooming,"How Often Should You Groom a Cat? A Schedule by Coat, Age and Lifestyle",How Often Should You Groom a Cat? Complete Schedule,51,"Learn how often to brush and professionally groom short-haired, long-haired, senior and indoor cats, plus signs that the schedule should change.",144,/how-often-groom-cat/,https://smspetgrooming.ae/how-often-groom-cat/,how often should a cat be groomed,Informational with commercial next step,P1,https://smspetgrooming.ae/cat-grooming/,1724,3,how-often-groom-cat-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
3,Wave 1,C13,03-C13-persian-cat-grooming.md,Cat Grooming,cat-grooming,"Persian Cat Grooming: Coat Care, Matting Prevention and Appointment Frequency","Persian Cat Grooming Guide: Coat, Mats and Schedule",51,"Create a practical Persian cat grooming schedule covering daily combing, mat prevention, bathing, face care and professional appointments in Dubai.",147,/persian-cat-grooming/,https://smspetgrooming.ae/persian-cat-grooming/,Persian cat grooming,Informational with commercial investigation,P1,https://smspetgrooming.ae/cat-grooming/,1558,3,persian-cat-grooming-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
4,Wave 1,C06,04-C06-cat-nail-clipping-frequency.md,Cat Grooming,cat-grooming,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,Cat Nail Clipping Frequency and Professional Help,49,Indoor cats often need nail checks every two to four weeks. Learn the signs of overgrowth and when a groomer or veterinarian should handle the trim.,148,/cat-nail-clipping-frequency/,https://smspetgrooming.ae/cat-nail-clipping-frequency/,how often to clip cat nails,Informational with service suitability,P1,https://smspetgrooming.ae/cat-grooming/,1351,2,cat-nail-clipping-frequency-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
5,Wave 1,C09,05-C09-matted-cat-fur-grooming.md,Cat Grooming,cat-grooming,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,"Matted Cat Fur: Causes, Risks and Grooming Options",50,"Learn why cat fur becomes matted, how to recognise severity, why scissors are unsafe and when a groomer or veterinarian should assess the coat.",143,/matted-cat-fur-grooming/,https://smspetgrooming.ae/matted-cat-fur-grooming/,matted cat fur grooming,Problem–solution / commercial investigation,P1,https://smspetgrooming.ae/cat-grooming/,1546,3,matted-cat-fur-grooming-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
6,Wave 1,C02,06-C02-mobile-cat-grooming-vs-salon.md,Cat Grooming,cat-grooming,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,Mobile vs Salon Cat Grooming: Which Is Better?,46,"Compare mobile and salon cat grooming by travel, environment, handling, cost and suitability to choose the right option for your cat in Dubai.",142,/mobile-cat-grooming-vs-salon/,https://smspetgrooming.ae/mobile-cat-grooming-vs-salon/,mobile cat grooming vs salon grooming,Commercial comparison,P1,https://smspetgrooming.ae/cat-grooming/,1618,2,mobile-cat-grooming-vs-salon-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
7,Wave 1,D16,07-D16-dog-grooming-prices-dubai.md,Dog Grooming,dog-grooming,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",Dog Grooming Prices Dubai: Size and Package Guide,49,"See SMS mobile dog grooming prices in Dubai for small, medium and large dogs, and learn how package, coat, matting and add-ons affect cost.",139,/dog-grooming-prices-dubai/,https://smspetgrooming.ae/dog-grooming-prices-dubai/,dog grooming price Dubai,Commercial investigation,P1,https://smspetgrooming.ae/dog-grooming/,1489,3,dog-grooming-prices-dubai-featured.webp,"Article,BreadcrumbList,FAQPage",yes,yes,cms_ready_pending_expert_review
8,Wave 1,D01,08-D01-how-often-groom-dog.md,Dog Grooming,dog-grooming,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,How Often Should You Groom a Dog? Coat Schedule,47,"Use this dog grooming schedule for short, long, curly, wire and double coats, with guidance for brushing, bathing, nails and professional visits.",145,/how-often-groom-dog/,https://smspetgrooming.ae/how-often-groom-dog/,how often should a dog be groomed,Informational with commercial next step,P1,https://smspetgrooming.ae/dog-grooming/,1484,3,how-often-groom-dog-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
9,Wave 1,D06,09-D06-dog-nail-trimming-frequency.md,Dog Grooming,dog-grooming,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",Dog Nail Trimming Frequency and Overgrowth Signs,48,"Most dogs need nail care about monthly. Learn the signs of overgrowth, how pavement and dewclaws affect timing, and when to book professional help.",147,/dog-nail-trimming-frequency/,https://smspetgrooming.ae/dog-nail-trimming-frequency/,how often to trim dog nails,Informational with service suitability,P1,https://smspetgrooming.ae/dog-grooming/,1239,2,dog-nail-trimming-frequency-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
10,Wave 1,D10,10-D10-dog-deshedding.md,Dog Grooming,dog-grooming,Dog Deshedding: How It Works and Which Coats Benefit Most,Dog Deshedding: How It Works and Which Coats Benefit,52,"Learn how professional dog deshedding removes loose undercoat, which coats benefit, what results to expect and how it differs from shaving or dematting.",152,/dog-deshedding/,https://smspetgrooming.ae/dog-deshedding/,dog deshedding,Informational / commercial investigation,P1,https://smspetgrooming.ae/dog-grooming/,1424,2,dog-deshedding-featured.webp,"Article,BreadcrumbList,FAQPage",yes,no,cms_ready_pending_expert_review
